module_number,concept,recommended_action,bridge_id,wps_task_id,source_file,rapids_code,variant,task_raw,proposed_qsen_statement_id,proposed_qsen_domain_name,proposed_ksa_raw,proposed_qsen_statement_raw,match_score,second_best_score,review_reason
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0046,WPS_2074CB_COMPETENCY_BASED_T40_R02_X,wps_competency_2074.docx,2074CB,competency_based,51.3818,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0047,WPS_2074CB_COMPETENCY_BASED_T40_R03_X,wps_competency_2074.docx,2074CB,competency_based,51.3806,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0048,WPS_2074CB_COMPETENCY_BASED_T40_R04_X,wps_competency_2074.docx,2074CB,competency_based,51.3801,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0049,WPS_2074CB_COMPETENCY_BASED_T40_R05_X,wps_competency_2074.docx,2074CB,competency_based,51.3805,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0050,WPS_2074CB_COMPETENCY_BASED_T40_R06_X,wps_competency_2074.docx,2074CB,competency_based,51.3820,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0051,WPS_2074CB_COMPETENCY_BASED_T40_R07_X,wps_competency_2074.docx,2074CB,competency_based,51.3899,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0052,WPS_2074CB_COMPETENCY_BASED_T40_R08_X,wps_competency_2074.docx,2074CB,competency_based,51.3812,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0053,WPS_2074CB_COMPETENCY_BASED_T40_R09_X,wps_competency_2074.docx,2074CB,competency_based,51.3802,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0054,WPS_2074CB_COMPETENCY_BASED_T40_R10_X,wps_competency_2074.docx,2074CB,competency_based,51.3803,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0055,WPS_2074CB_COMPETENCY_BASED_T40_R11_X,wps_competency_2074.docx,2074CB,competency_based,51.3810,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0056,WPS_2074CB_COMPETENCY_BASED_T40_R12_X,wps_competency_2074.docx,2074CB,competency_based,51.3815,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0057,WPS_2074CB_COMPETENCY_BASED_T40_R13_X,wps_competency_2074.docx,2074CB,competency_based,51.3821,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0058,WPS_2074CB_COMPETENCY_BASED_T40_R14_X,wps_competency_2074.docx,2074CB,competency_based,51.3816,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0059,WPS_2074CB_COMPETENCY_BASED_T40_R15_X,wps_competency_2074.docx,2074CB,competency_based,51.3814,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0060,WPS_2074CB_COMPETENCY_BASED_T40_R16_X,wps_competency_2074.docx,2074CB,competency_based,51.3819,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0061,WPS_2074CB_COMPETENCY_BASED_T40_R17_X,wps_competency_2074.docx,2074CB,competency_based,51.3822,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0062,WPS_2074CB_COMPETENCY_BASED_T40_R18_X,wps_competency_2074.docx,2074CB,competency_based,51.3808,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0063,WPS_2074CB_COMPETENCY_BASED_T40_R19_X,wps_competency_2074.docx,2074CB,competency_based,51.3824,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0064,WPS_2074CB_COMPETENCY_BASED_T40_R20_X,wps_competency_2074.docx,2074CB,competency_based,51.3811,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0065,WPS_2074CB_COMPETENCY_BASED_T40_R21_X,wps_competency_2074.docx,2074CB,competency_based,51.3813,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0066,WPS_2074CB_COMPETENCY_BASED_T40_R22_X,wps_competency_2074.docx,2074CB,competency_based,51.3809,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0067,WPS_2074CB_COMPETENCY_BASED_T40_R23_X,wps_competency_2074.docx,2074CB,competency_based,Total,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0113,WPS_3056CB_COMPETENCY_BASED_T40_R02_X,wps_competency_3056.docx,3056CB,competency_based,51.3818,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0114,WPS_3056CB_COMPETENCY_BASED_T40_R03_X,wps_competency_3056.docx,3056CB,competency_based,51.3806,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0115,WPS_3056CB_COMPETENCY_BASED_T40_R04_X,wps_competency_3056.docx,3056CB,competency_based,51.3801,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0116,WPS_3056CB_COMPETENCY_BASED_T40_R05_X,wps_competency_3056.docx,3056CB,competency_based,51.3805,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0117,WPS_3056CB_COMPETENCY_BASED_T40_R06_X,wps_competency_3056.docx,3056CB,competency_based,51.3820,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0118,WPS_3056CB_COMPETENCY_BASED_T40_R07_X,wps_competency_3056.docx,3056CB,competency_based,51.3899,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0119,WPS_3056CB_COMPETENCY_BASED_T40_R08_X,wps_competency_3056.docx,3056CB,competency_based,51.3812,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0120,WPS_3056CB_COMPETENCY_BASED_T40_R09_X,wps_competency_3056.docx,3056CB,competency_based,51.3802,,,,,0.0,0.0,no_confident_match
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_QSEN_BRIDGE_0121,WPS_3056CB_COMPETENCY_BASED_T40_R10_X,wps_competency_3056.docx,3056CB,competency_based,51.3803,,,,,0.0,0.0,no_confident_match
