module_number,concept,recommended_action,wps_task_id,source_file,rapids_code,variant,source_table_index,source_row_index,task_raw
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R02_X,wps_competency_2074.docx,2074CB,competency_based,40,2,51.3818
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R03_X,wps_competency_2074.docx,2074CB,competency_based,40,3,51.3806
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R04_X,wps_competency_2074.docx,2074CB,competency_based,40,4,51.3801
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R05_X,wps_competency_2074.docx,2074CB,competency_based,40,5,51.3805
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R06_X,wps_competency_2074.docx,2074CB,competency_based,40,6,51.3820
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R07_X,wps_competency_2074.docx,2074CB,competency_based,40,7,51.3899
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R08_X,wps_competency_2074.docx,2074CB,competency_based,40,8,51.3812
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R09_X,wps_competency_2074.docx,2074CB,competency_based,40,9,51.3802
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R10_X,wps_competency_2074.docx,2074CB,competency_based,40,10,51.3803
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R11_X,wps_competency_2074.docx,2074CB,competency_based,40,11,51.3810
RN-WPS-001,*CIP Code,exclude_from_engine_source_candidate,WPS_2074CB_COMPETENCY_BASED_T40_R12_X,wps_competency_2074.docx,2074CB,competency_based,40,12,51.3815
